"United States",8983
"Canada",462
"India",181
"United Kingdom",162
"Czechia",112
"Sweden",107
"Germany",94
"Taiwan",91
"Australia",60
"Netherlands",55
"Spain",50
"Poland",47
"Russia",43
"Singapore",36
"Italy",35
"Finland",35
"Switzerland",30
"China",30
"Colombia",28
"Philippines",27
"Mexico",27
"Greece",25
"Belgium",22
"Romania",21
"Japan",20
"New Zealand",20
"Norway",18
"Ukraine",17
"France",15
"Portugal",15
"Denmark",15
"Jordan",14
"Ireland",13
"South Korea",13
"Brazil",11
"Slovakia",11
"South Africa",9
"Nigeria",8
"North Macedonia",8
"Cyprus",8
"Moldova",8
"Hungary",7
"Pakistan",7
"Armenia",6
"Croatia",5
"Israel",5
"Argentina",5
"Malaysia",5
"Namibia",5
"Puerto Rico",4
"Türkiye",4
"Albania",4
"Kosovo",4
"Estonia",4
"Chile",4
"Lithuania",4
"Bermuda",3
"Thailand",3
"Trinidad & Tobago",3
"Belarus",3
"Bulgaria",3
"Georgia",2
"Peru",2
"French Polynesia",2
"Serbia",2
"Panama",2
"Kenya",2
"Montenegro",1
"Maldives",1
"Indonesia",1
"Bhutan",1
"Austria",1
"Ghana",1
"Madagascar",1
"Venezuela",1
"Morocco",1
"Cayman Islands",1
"Bahamas",1
"Algeria",1
"Ecuador",1
"Guadeloupe",1
"Guam",1
"Jamaica",1
"Kuwait",1
"United Arab Emirates",1
"Mozambique",1
"Dominican Republic",1
"El Salvador",1
"European Union",1
"Turks & Caicos Islands",1
"Qatar",1
"Saudi Arabia",1
"Bangladesh",1
"Costa Rica",1
